Date,Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
01/12/2017,256,0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,1
01/12/2017,206,1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,1
01/12/2017,175,2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,Winter,No Holiday,1
01/12/2017,109,3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,1
01/12/2017,80,4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,Winter,No Holiday,1
01/12/2017,102,5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,Winter,No Holiday,1
01/12/2017,183,6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,Winter,No Holiday,1
01/12/2017,462,7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,Winter,No Holiday,1
01/12/2017,932,8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,Winter,No Holiday,1
01/12/2017,492,9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,Winter,No Holiday,1
01/12/2017,341,10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,Winter,No Holiday,1
01/12/2017,362,11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,Winter,No Holiday,1
01/12/2017,451,12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,Winter,No Holiday,1
01/12/2017,453,13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,Winter,No Holiday,1
01/12/2017,449,14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,Winter,No Holiday,1
01/12/2017,465,15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,Winter,No Holiday,1
01/12/2017,486,16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,Winter,No Holiday,1
01/12/2017,557,17,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,Winter,No Holiday,1
01/12/2017,864,18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,Winter,No Holiday,1
01/12/2017,602,19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,Winter,No Holiday,1
01/12/2017,428,20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,Winter,No Holiday,1
01/12/2017,407,21,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,Winter,No Holiday,1
01/12/2017,400,22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,Winter,No Holiday,1
01/12/2017,325,23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,Winter,No Holiday,1
02/12/2017,330,0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,Winter,No Holiday,1
02/12/2017,310,1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,Winter,No Holiday,1
02/12/2017,264,2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,Winter,No Holiday,1
02/12/2017,169,3,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,Winter,No Holiday,1
02/12/2017,91,4,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,Winter,No Holiday,1
02/12/2017,81,5,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,Winter,No Holiday,1
02/12/2017,72,6,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,Winter,No Holiday,1
02/12/2017,148,7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,Winter,No Holiday,1
02/12/2017,221,8,-4.2,79,2.1,1436,-7.3,0.01,0.0,0.0,Winter,No Holiday,1
02/12/2017,330,9,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,Winter,No Holiday,1
02/12/2017,336,10,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,Winter,No Holiday,1
02/12/2017,390,11,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,Winter,No Holiday,1
02/12/2017,481,12,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,Winter,No Holiday,1
02/12/2017,608,13,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,Winter,No Holiday,1
02/12/2017,613,14,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,Winter,No Holiday,1
02/12/2017,591,15,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,Winter,No Holiday,1
02/12/2017,620,16,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,Winter,No Holiday,1
02/12/2017,574,17,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,Winter,No Holiday,1
02/12/2017,491,18,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,Winter,No Holiday,1
02/12/2017,387,19,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,Winter,No Holiday,1
02/12/2017,361,20,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,Winter,No Holiday,1
02/12/2017,379,21,4.1,55,1.2,1448,-4.1,0.0,0.0,0.0,Winter,No Holiday,1
02/12/2017,356,22,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,Winter,No Holiday,1
02/12/2017,368,23,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,Winter,No Holiday,1
03/12/2017,344,0,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,Winter,No Holiday,1
03/12/2017,229,1,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,Winter,No Holiday,1
03/12/2017,230,2,3.3,79,1.4,830,0.0,0.0,0.0,0.0,Winter,No Holiday,1
03/12/2017,119,3,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,Winter,No Holiday,1
03/12/2017,78,4,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,Winter,No Holiday,1
03/12/2017,34,5,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,Winter,No Holiday,1
03/12/2017,15,6,3.4,86,2.5,278,1.2,0.0,1.0,0.0,Winter,No Holiday,1
03/12/2017,24,7,3.1,91,1.2,129,1.7,0.0,0.0,0.0,Winter,No Holiday,1
03/12/2017,87,8,3.2,92,1.8,244,2.0,0.0,0.0,0.0,Winter,No Holiday,1
03/12/2017,154,9,3.5,91,1.8,231,2.1,0.02,2.5,0.0,Winter,No Holiday,1
03/12/2017,202,10,4.4,89,2.2,257,2.7,0.24,0.0,0.0,Winter,No Holiday,1
03/12/2017,275,11,5.1,87,1.4,321,3.1,0.25,0.0,0.0,Winter,No Holiday,1
03/12/2017,335,12,5.8,85,1.7,349,3.4,0.43,0.0,0.0,Winter,No Holiday,1
03/12/2017,497,13,6.8,81,1.9,390,3.7,0.6,0.0,0.0,Winter,No Holiday,1
03/12/2017,565,14,7.6,76,1.2,422,3.6,0.69,0.0,0.0,Winter,No Holiday,1
03/12/2017,623,15,8.0,73,1.6,433,3.4,0.53,0.0,0.0,Winter,No Holiday,1
03/12/2017,600,16,7.6,77,1.6,399,3.8,0.2,0.0,0.0,Winter,No Holiday,1
03/12/2017,547,17,6.7,82,1.5,358,3.8,0.05,0.0,0.0,Winter,No Holiday,1
03/12/2017,445,18,6.0,84,1.9,327,3.4,0.0,0.0,0.0,Winter,No Holiday,1
03/12/2017,424,19,5.7,85,1.7,309,3.3,0.0,0.0,0.0,Winter,No Holiday,1
03/12/2017,399,20,5.2,87,1.4,253,3.2,0.0,0.0,0.0,Winter,No Holiday,1
03/12/2017,387,21,4.7,87,1.2,247,2.7,0.0,0.0,0.0,Winter,No Holiday,1
03/12/2017,352,22,4.3,89,1.8,201,2.6,0.0,0.0,0.0,Winter,No Holiday,1
03/12/2017,305,23,3.9,90,1.3,194,2.4,0.0,0.0,0.0,Winter,No Holiday,1
04/12/2017,287,0,4.2,88,0.6,216,2.3,0.0,0.0,0.0,Winter,No Holiday,1
04/12/2017,188,1,4.3,87,0.5,221,2.3,0.0,0.0,0.0,Winter,No Holiday,1
04/12/2017,114,2,4.4,87,1.8,207,2.4,0.0,0.0,0.0,Winter,No Holiday,1
04/12/2017,67,3,3.6,85,2.3,206,1.3,0.0,0.0,0.0,Winter,No Holiday,1
04/12/2017,43,4,2.8,89,1.5,130,1.1,0.0,0.0,0.0,Winter,No Holiday,1
04/12/2017,84,5,2.0,83,2.7,253,-0.5,0.0,0.0,0.0,Winter,No Holiday,1
04/12/2017,202,6,1.2,76,3.7,371,-2.5,0.0,0.1,0.0,Winter,No Holiday,1
04/12/2017,500,7,0.2,68,3.4,702,-5.0,0.0,0.0,0.0,Winter,No Holiday,1
04/12/2017,939,8,-0.8,69,3.5,954,-5.7,0.01,0.0,0.0,Winter,No Holiday,1
04/12/2017,511,9,-1.5,47,4.2,1888,-11.3,0.22,0.0,0.0,Winter,No Holiday,1
04/12/2017,313,10,-1.1,40,4.5,2000,-13.0,0.64,0.0,0.0,Winter,No Holiday,1
04/12/2017,381,11,-0.5,41,4.1,1799,-12.1,0.94,0.0,0.0,Winter,No Holiday,1
04/12/2017,395,12,-0.3,38,4.8,1823,-12.9,1.11,0.0,0.0,Winter,No Holiday,1
04/12/2017,393,13,0.0,30,5.4,1938,-15.5,1.17,0.0,0.0,Winter,No Holiday,1
04/12/2017,340,14,0.1,27,4.5,2000,-16.7,1.09,0.0,0.0,Winter,No Holiday,1
04/12/2017,343,15,-0.1,25,5.8,2000,-17.8,0.88,0.0,0.0,Winter,No Holiday,1
04/12/2017,377,16,-0.2,23,4.7,2000,-18.8,0.55,0.0,0.0,Winter,No Holiday,1
04/12/2017,517,17,-1.3,26,5.3,2000,-18.3,0.18,0.0,0.0,Winter,No Holiday,1
04/12/2017,809,18,-2.1,29,3.9,2000,-17.7,0.0,0.0,0.0,Winter,No Holiday,1
04/12/2017,570,19,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,Winter,No Holiday,1
04/12/2017,400,20,-3.6,38,3.0,2000,-15.8,0.0,0.0,0.0,Winter,No Holiday,1
04/12/2017,399,21,-4.6,43,4.5,2000,-15.3,0.0,0.0,0.0,Winter,No Holiday,1
04/12/2017,355,22,-5.3,45,2.5,2000,-15.3,0.0,0.0,0.0,Winter,No Holiday,1
04/12/2017,250,23,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,218,0,-6.1,42,2.6,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,200,1,-6.5,41,2.8,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,126,2,-6.8,41,2.5,2000,-17.8,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,64,3,-6.9,39,2.0,2000,-18.5,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,44,4,-7.2,34,3.0,2000,-20.4,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,84,5,-7.4,33,2.6,2000,-20.9,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,174,6,-7.4,34,3.2,2000,-20.6,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,383,7,-7.5,33,2.2,2000,-21.0,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,814,8,-8.1,36,1.6,2000,-20.5,0.01,0.0,0.0,Winter,No Holiday,1
05/12/2017,464,9,-7.6,31,1.3,1974,-21.8,0.21,0.0,0.0,Winter,No Holiday,1
05/12/2017,271,10,-5.5,26,2.8,1967,-22.0,0.64,0.0,0.0,Winter,No Holiday,1
05/12/2017,336,11,-3.9,25,0.0,1959,-21.0,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,323,12,-2.3,25,0.0,1962,-19.7,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,327,13,-1.6,27,0.0,1955,-18.2,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,336,14,-1.1,28,0.0,2000,-17.3,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,355,15,-0.7,28,0.0,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,437,16,-0.5,30,0.0,2000,-16.0,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,531,17,-1.6,35,0.0,2000,-15.1,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,791,18,-2.6,40,0.0,2000,-14.4,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,599,19,-3.2,45,0.0,2000,-13.5,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,420,20,-3.5,46,0.0,2000,-13.4,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,417,21,-3.7,47,0.0,2000,-13.3,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,395,22,-2.8,49,0.0,2000,-12.0,0.0,0.0,0.0,Winter,No Holiday,1
05/12/2017,246,23,-2.5,59,0.0,1210,-9.4,0.0,0.0,0.0,Winter,No Holiday,1
06/12/2017,147,0,-2.8,77,0.0,331,-6.2,0.0,0.1,0.1,Winter,No Holiday,1
06/12/2017,146,1,-3.0,79,0.0,293,-6.1,0.0,0.0,0.3,Winter,No Holiday,1
06/12/2017,119,2,-3.0,79,0.0,1862,-6.1,0.0,0.0,0.4,Winter,No Holiday,1
06/12/2017,80,3,-3.2,78,0.0,1808,-6.4,0.0,0.2,0.4,Winter,No Holiday,1
06/12/2017,60,4,-3.4,75,0.0,1982,-7.2,0.0,0.0,0.4,Winter,No Holiday,1
06/12/2017,89,5,-3.6,76,0.0,1934,-7.2,0.0,0.0,0.4,Winter,No Holiday,1
06/12/2017,144,6,-3.7,76,0.0,1864,-7.3,0.0,0.0,0.4,Winter,No Holiday,1
06/12/2017,381,7,-4.2,77,0.0,1741,-7.6,0.0,0.0,0.3,Winter,No Holiday,1
06/12/2017,804,8,-4.2,78,0.0,1518,-7.4,0.01,0.0,0.2,Winter,No Holiday,1
06/12/2017,442,9,-3.3,70,0.0,1324,-7.9,0.25,0.0,0.2,Winter,No Holiday,1
06/12/2017,309,10,-0.9,64,0.0,1224,-6.8,0.63,0.0,0.2,Winter,No Holiday,1
06/12/2017,383,11,1.6,57,1.2,1261,-6.0,0.93,0.0,0.0,Winter,No Holiday,1
06/12/2017,407,12,2.4,52,0.9,1224,-6.4,1.08,0.0,0.0,Winter,No Holiday,1
06/12/2017,444,13,4.2,47,1.1,1469,-6.1,1.1,0.0,0.0,Winter,No Holiday,1
06/12/2017,418,14,5.5,34,1.0,1966,-9.1,0.96,0.0,0.0,Winter,No Holiday,1
06/12/2017,414,15,5.5,31,3.1,1968,-10.3,0.72,0.0,0.0,Winter,No Holiday,1
06/12/2017,498,16,5.3,37,2.9,2000,-8.2,0.36,0.0,0.0,Winter,No Holiday,1
06/12/2017,241,17,4.1,60,2.5,1565,-2.9,0.1,0.0,0.0,Winter,No Holiday,1
06/12/2017,206,18,1.7,90,1.0,66,0.2,0.0,0.3,0.3,Winter,No Holiday,1
06/12/2017,207,19,1.2,92,0.7,180,0.0,0.0,0.0,1.0,Winter,No Holiday,1
06/12/2017,192,20,1.2,94,0.6,228,0.3,0.0,0.0,1.0,Winter,No Holiday,1
06/12/2017,167,21,1.1,92,0.5,235,0.0,0.0,0.7,1.0,Winter,No Holiday,1
06/12/2017,224,22,1.3,92,0.6,233,0.1,0.0,0.0,1.0,Winter,No Holiday,1
06/12/2017,195,23,1.3,92,0.6,209,0.1,0.0,0.0,1.0,Winter,No Holiday,1
07/12/2017,200,0,1.4,92,0.5,240,0.2,0.0,0.0,0.9,Winter,No Holiday,1
07/12/2017,220,1,1.5,92,0.4,227,0.3,0.0,0.0,0.9,Winter,No Holiday,1
07/12/2017,151,2,1.4,92,0.7,168,0.2,0.0,0.0,0.9,Winter,No Holiday,1
07/12/2017,104,3,1.9,91,1.4,218,0.5,0.0,0.0,0.9,Winter,No Holiday,1
07/12/2017,64,4,1.6,92,0.7,119,0.4,0.0,0.0,0.9,Winter,No Holiday,1
07/12/2017,85,5,1.5,92,1.1,175,0.3,0.0,0.0,0.9,Winter,No Holiday,1
07/12/2017,139,6,1.0,93,0.5,148,0.0,0.0,0.0,0.9,Winter,No Holiday,1
07/12/2017,369,7,0.3,93,0.5,173,-0.7,0.0,0.0,0.9,Winter,No Holiday,1
07/12/2017,756,8,-0.2,96,0.8,173,-0.7,0.01,0.0,0.8,Winter,No Holiday,1
07/12/2017,417,9,0.1,91,0.8,265,-1.1,0.14,0.0,0.8,Winter,No Holiday,1
07/12/2017,323,10,1.1,83,0.7,311,-1.4,0.41,0.0,0.7,Winter,No Holiday,1
07/12/2017,335,11,2.3,69,1.7,628,-2.8,0.63,0.0,0.6,Winter,No Holiday,1
07/12/2017,433,12,3.7,65,2.4,833,-2.2,0.98,0.0,0.3,Winter,No Holiday,1
07/12/2017,396,13,4.1,37,3.1,1767,-9.3,1.14,0.0,0.0,Winter,No Holiday,1
07/12/2017,392,14,4.4,36,2.7,1975,-9.4,1.04,0.0,0.0,Winter,No Holiday,1
07/12/2017,432,15,4.0,35,3.1,1962,-10.1,0.84,0.0,0.0,Winter,No Holiday,1
07/12/2017,473,16,3.2,38,2.9,1817,-9.7,0.51,0.0,0.0,Winter,No Holiday,1
07/12/2017,554,17,2.1,50,2.0,1434,-7.2,0.15,0.0,0.0,Winter,No Holiday,1
07/12/2017,797,18,0.7,46,2.7,1558,-9.6,0.0,0.0,0.0,Winter,No Holiday,1
07/12/2017,509,19,-0.4,47,2.5,1269,-10.3,0.0,0.0,0.0,Winter,No Holiday,1
07/12/2017,392,20,-1.4,47,2.5,1620,-11.2,0.0,0.0,0.0,Winter,No Holiday,1
07/12/2017,404,21,-2.2,46,2.2,1975,-12.2,0.0,0.0,0.0,Winter,No Holiday,1
07/12/2017,391,22,-2.7,48,2.6,1844,-12.2,0.0,0.0,0.0,Winter,No Holiday,1
07/12/2017,261,23,-3.2,50,2.1,1887,-12.1,0.0,0.0,0.0,Winter,No Holiday,1
08/12/2017,235,0,-3.5,49,2.6,1893,-12.6,0.0,0.0,0.0,Winter,No Holiday,1
08/12/2017,232,1,-3.7,50,2.5,1902,-12.6,0.0,0.0,0.0,Winter,No Holiday,1
08/12/2017,133,2,-4.3,53,1.0,1918,-12.4,0.0,0.0,0.0,Winter,No Holiday,1
08/12/2017,101,3,-4.8,52,1.6,1978,-13.1,0.0,0.0,0.0,Winter,No Holiday,1
08/12/2017,73,4,-5.3,53,2.4,1936,-13.4,0.0,0.0,0.0,Winter,No Holiday,1
08/12/2017,86,5,-5.8,56,2.0,1941,-13.1,0.0,0.0,0.0,Winter,No Holiday,1
08/12/2017,160,6,-6.0,56,3.5,1853,-13.3,0.0,0.0,0.0,Winter,No Holiday,1
08/12/2017,389,7,-6.5,57,0.8,1776,-13.6,0.0,0.0,0.0,Winter,No Holiday,1
08/12/2017,782,8,-7.0,59,0.8,1559,-13.6,0.01,0.0,0.0,Winter,No Holiday,1
08/12/2017,397,9,-6.7,50,0.9,1492,-15.4,0.23,0.0,0.0,Winter,No Holiday,1
08/12/2017,263,10,-5.3,44,2.8,1516,-15.6,0.63,0.0,0.0,Winter,No Holiday,1
08/12/2017,312,11,-3.7,39,1.4,1595,-15.6,0.93,0.0,0.0,Winter,No Holiday,1
08/12/2017,357,12,-2.0,30,1.4,1728,-17.3,1.14,0.0,0.0,Winter,No Holiday,1
08/12/2017,356,13,-1.7,28,1.8,1963,-17.8,1.22,0.0,0.0,Winter,No Holiday,1
08/12/2017,352,14,-1.3,27,3.1,1906,-17.9,1.12,0.0,0.0,Winter,No Holiday,1
08/12/2017,364,15,-0.8,26,3.3,1977,-17.9,0.87,0.0,0.0,Winter,No Holiday,1
08/12/2017,403,16,-1.1,24,3.4,2000,-19.1,0.56,0.0,0.0,Winter,No Holiday,1
08/12/2017,502,17,-2.4,30,2.7,2000,-17.6,0.18,0.0,0.0,Winter,No Holiday,1
08/12/2017,754,18,-3.1,33,1.2,2000,-17.1,0.0,0.0,0.0,Winter,No Holiday,1
08/12/2017,479,19,-3.3,35,1.1,2000,-16.6,0.0,0.0,0.0,Winter,No Holiday,1
08/12/2017,386,20,-3.3,34,1.5,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,1
08/12/2017,338,21,-3.3,35,0.5,2000,-16.6,0.0,0.0,0.0,Winter,No Holiday,1
08/12/2017,349,22,-3.4,39,1.2,2000,-15.4,0.0,0.0,0.0,Winter,No Holiday,1
08/12/2017,277,23,-3.5,43,0.9,2000,-14.3,0.0,0.0,0.0,Winter,No Holiday,1
09/12/2017,269,0,-3.5,48,0.9,1967,-12.9,0.0,0.0,0.0,Winter,No Holiday,1
09/12/2017,298,1,-4.1,49,0.6,2000,-13.2,0.0,0.0,0.0,Winter,No Holiday,1
09/12/2017,239,2,-4.7,50,0.7,1983,-13.5,0.0,0.0,0.0,Winter,No Holiday,1
